COUNTY,DRINK_WATER_NONCOMPL,PERCENT_LOWINC,PERCENTILE_DRINKWATER_NONCOMPL,PERCENTILE_LOWINC
Taliaferro County,0.0050733461109613,0.008145868867081447,82.38993710691824,0.6289308176100629
Quitman County,0.00018288559009765925,0.009318706455563602,33.33333333333333,1.2578616352201257
Webster County,0.0001311961569352232,0.011729770304895592,29.559748427672954,1.8867924528301887
Glascock County,0.013056069033045995,0.011745290768010699,96.22641509433961,2.5157232704402515
Chattahoochee County,0.0,0.012244974647287491,10.062893081761006,3.144654088050314
Echols County,0.00013864680288463096,0.013810690100423908,30.18867924528302,3.7735849056603774
Clay County,0.0007425902177733095,0.015094676339318961,56.60377358490566,4.40251572327044
Marion County,0.00012877924271262702,0.01648485677710789,28.30188679245283,5.031446540880503
Lincoln County,0.0,0.016743692277105492,10.062893081761006,5.660377358490566
Talbot County,0.0002901994845685823,0.01783479026343716,37.73584905660377,6.289308176100628
Schley County,0.0,0.018885767776107436,10.062893081761006,6.918238993710691
Baker County,0.00034682649806516735,0.019630832371048207,43.39622641509434,7.547169811320755
Warren County,0.004093022764443813,0.025435766742312453,80.50314465408805,8.176100628930817
Stewart County,0.000629357852365523,0.02779084755531084,51.57232704402516,8.80503144654088
Miller County,0.0,0.028284115979096587,10.062893081761006,9.433962264150942
Treutlen County,0.0,0.028446477586167997,10.062893081761006,10.062893081761006
Calhoun County,0.0006113747845228141,0.031000091926587744,50.94339622641509,10.69182389937107
Crawford County,0.0005022991327853759,0.03274003420171348,47.79874213836478,11.320754716981131
Twiggs County,0.0011247731179992574,0.03566578490958033,65.40880503144653,11.949685534591195
Clinch County,0.00013077043828955894,0.037303662841251084,28.930817610062892,12.578616352201257
Pulaski County,0.0,0.03886042551125562,10.062893081761006,13.20754716981132
Heard County,0.0014596553476054252,0.039583691947257166,69.18238993710692,13.836477987421382
Wilkes County,0.0007025133645275346,0.03979668906751388,53.459119496855344,14.465408805031446
Seminole County,8.263711237997875e-05,0.04067900425930333,27.044025157232703,15.09433962264151
Atkinson County,5.120300162323155e-05,0.04069138386729807,24.528301886792452,15.723270440251572
Johnson County,1.4658997105755148e-05,0.04075242225346843,21.38364779874214,16.352201257861633
Bleckley County,0.0,0.04147434254743019,10.062893081761006,16.9811320754717
Montgomery County,0.005120579155862613,0.041494402252485046,83.0188679245283,17.61006289308176
Wheeler County,0.00028625597698376685,0.04169286431327128,37.10691823899371,18.238993710691823
Jenkins County,0.0,0.04280100525949248,10.062893081761006,18.867924528301884
Randolph County,0.00031314309062728177,0.043289004520418096,40.880503144654085,19.49685534591195
Taylor County,0.006630967482914578,0.04377899249338487,89.30817610062893,20.12578616352201
Morgan County,0.0009678143548888058,0.04378994637854147,59.74842767295597,20.754716981132074
Wilkinson County,0.0007203653593761497,0.044090948401511516,54.088050314465406,21.38364779874214
Oglethorpe County,0.007186737933611953,0.04429561411266115,90.56603773584905,22.0125786163522
Banks County,0.001962887834803554,0.0445616927673428,71.0691823899371,22.641509433962263
Pike County,0.0006588910756734462,0.04515513155832834,52.20125786163522,23.270440251572325
Lanier County,2.997390595253731e-05,0.045794522459896445,23.270440251572325,23.89937106918239
Irwin County,0.0,0.04607771974509671,10.062893081761006,24.528301886792452
Towns County,2.3056404296005654e-05,0.04698779342706118,22.0125786163522,25.157232704402514
Terrell County,0.0,0.047183950115412064,10.062893081761006,25.78616352201258
Evans County,0.00017034279352783603,0.047892326177083985,32.075471698113205,26.41509433962264
Hancock County,0.0005858699984569335,0.05000845951830264,49.685534591194966,27.044025157232703
Wilcox County,0.0010318710759336404,0.050361651257008505,61.0062893081761,27.672955974842765
Candler County,0.0015943243246070104,0.05097858975990054,69.81132075471697,28.30188679245283
Turner County,0.0005630968772765502,0.051189106230430596,49.056603773584904,28.930817610062892
Putnam County,0.0027897114821286545,0.05136739657254578,76.72955974842768,29.559748427672954
McIntosh County,0.0007353493430089984,0.05250881886740725,55.9748427672956,30.18867924528302
Jasper County,0.0003231423721173238,0.05278327405068882,42.13836477987421,30.81761006289308
Early County,0.00018665414305248,0.05286267492606063,35.22012578616352,31.446540880503143
Dade County,0.0,0.05302427510204784,10.062893081761006,32.075471698113205
Dooly County,0.0,0.05321498997064379,10.062893081761006,32.70440251572327
Bacon County,0.0003002269626461205,0.05598711132698202,38.9937106918239,33.33333333333333
Greene County,6.28729120244041e-05,0.05698417755722251,25.157232704402514,33.9622641509434
Jefferson County,0.0023360997082254318,0.057209480861219665,72.32704402515724,34.59119496855346
Oconee County,0.0002953647269638395,0.05763514487217944,38.36477987421384,35.22012578616352
Harris County,0.0008658889363538512,0.05851510969176882,57.861635220125784,35.84905660377358
Charlton County,0.0,0.05876512881647469,10.062893081761006,36.477987421383645
Union County,0.0013300369494035585,0.06396943365115444,67.29559748427673,37.10691823899371
Screven County,0.00027178605335670717,0.06470307069639984,36.477987421383645,37.73584905660377
Lamar County,0.0008676251168729917,0.06478045779319022,58.490566037735846,38.36477987421384
Rabun County,0.0010696895032117702,0.0659179562679103,63.52201257861635,38.9937106918239
McDuffie County,0.038383929106048605,0.06708313496313813,98.74213836477988,39.62264150943396
Lee County,0.004288838441216246,0.06776042413024384,81.13207547169812,40.25157232704402
Macon County,0.0,0.068474628815136,10.062893081761006,40.880503144654085
Dawson County,0.0010647156236003833,0.07177547552049231,62.264150943396224,41.50943396226415
Telfair County,0.0010641722313378067,0.07417259208075258,61.63522012578616,42.13836477987421
Long County,0.0059989700791981265,0.07542717779610558,85.53459119496856,42.76729559748428
Jones County,0.0,0.0778274390343906,10.062893081761006,43.39622641509434
Appling County,0.0,0.07895075791097929,10.062893081761006,44.0251572327044
Pierce County,7.584060257442034e-06,0.07966463341580708,20.754716981132074,44.65408805031446
Worth County,0.0,0.08009260555575094,10.062893081761006,45.283018867924525
Brooks County,4.9031153883044753e-05,0.08103348248646211,23.89937106918239,45.91194968553459
Butts County,0.0,0.08249439812622107,10.062893081761006,46.54088050314465
Berrien County,0.0004600135280968313,0.08318070433714134,46.54088050314465,47.16981132075472
Jeff Davis County,0.0007021819206228599,0.08350748513420034,52.83018867924528,47.79874213836478
Elbert County,0.0,0.08359183466530658,10.062893081761006,48.42767295597484
Cook County,0.0,0.08419456691143612,10.062893081761006,49.056603773584904
Burke County,0.003269349072392896,0.08433178816109252,77.9874213836478,49.685534591194966
Pickens County,0.00014812232387606737,0.08478518040486802,30.81761006289308,50.31446540880503
Monroe County,0.0003638485543584599,0.08539644906867941,44.0251572327044,50.94339622641509
White County,4.937438648462174e-06,0.08829443660705576,20.12578616352201,51.57232704402516
Franklin County,0.0034332704986945756,0.08961852637722474,79.24528301886792,52.20125786163522
Peach County,7.26930929413045e-05,0.09003776692091572,26.41509433962264,52.83018867924528
Ben Hill County,0.0,0.09202957526214545,10.062893081761006,53.459119496855344
Dodge County,0.0001866107829668582,0.09217999607223654,34.59119496855346,54.088050314465406
Bryan County,0.005910841095019476,0.09254569391103161,84.90566037735849,54.71698113207547
Gilmer County,0.0010752309759727535,0.09287856412352546,64.15094339622641,55.34591194968553
Haralson County,0.0025261362828295497,0.09336682785704399,74.84276729559748,55.9748427672956
Brantley County,0.0005301450963551967,0.09345755632282403,48.42767295597484,56.60377358490566
Hart County,0.0003007592530762744,0.09705625893926802,40.25157232704402,57.23270440251572
Crisp County,2.668244883864817e-05,0.0971059676741169,22.641509433962263,57.861635220125784
Washington County,0.0022043718498370763,0.10229928491705638,71.69811320754717,58.490566037735846
Fannin County,0.000844467144049976,0.1042322374012811,57.23270440251572,59.11949685534591
Meriwether County,0.006426733811549791,0.10536196258839035,87.42138364779873,59.74842767295597
Tattnall County,0.007829232218019622,0.10576819878262714,91.19496855345912,60.37735849056604
Lumpkin County,0.016731996032181673,0.10668710341874241,96.85534591194968,61.0062893081761
Emanuel County,0.008830415341953831,0.10840551967951415,93.0817610062893,61.63522012578616
Grady County,0.00015182153556466936,0.11533450888040894,31.446540880503143,62.264150943396224
Mitchell County,0.00023829962772040075,0.11563762920021957,35.84905660377358,62.893081761006286
Chattooga County,0.0,0.11770173315936894,10.062893081761006,63.52201257861635
Stephens County,0.0,0.11990799698248328,10.062893081761006,64.15094339622641
Upson County,0.0003145171285646353,0.1213483060701434,41.50943396226415,64.77987421383648
Murray County,0.000176905552050843,0.13187968744851994,32.70440251572327,65.40880503144653
Ware County,0.0024700868852469875,0.13673207982610308,73.58490566037736,66.0377358490566
Toombs County,0.0007300308042619723,0.1375018628212609,54.71698113207547,66.66666666666666
Madison County,0.002719389808533288,0.13950170368152834,76.1006289308176,67.29559748427673
Wayne County,0.0007302318095965957,0.14415038438411185,55.34591194968553,67.9245283018868
Effingham County,0.0059022906902290164,0.15006515521481947,84.27672955974842,68.55345911949685
Sumter County,0.0026071830284614714,0.15051528392064212,75.47169811320754,69.18238993710692
Decatur County,0.010875195204551429,0.15732038419771885,94.96855345911949,69.81132075471697
Thomas County,0.003579657950551259,0.17768335774447397,79.87421383647798,70.44025157232704
Habersham County,0.002382426041963688,0.17843479594098022,72.95597484276729,71.0691823899371
Camden County,0.008792351935222159,0.18391658644238626,92.45283018867924,71.69811320754717
Polk County,0.0,0.18600687147930564,10.062893081761006,72.32704402515724
Baldwin County,0.011953487610475294,0.18743229365555078,95.59748427672956,72.95597484276729
Fayette County,0.0003810003571839128,0.18974572622272018,44.65408805031446,73.58490566037736
Tift County,0.00043981178409938754,0.19585421450543516,45.91194968553459,74.21383647798741
Jackson County,0.0025119757966159976,0.20437909110726032,74.21383647798741,74.84276729559748
Liberty County,0.0012023798935118558,0.20474441917413386,66.0377358490566,75.47169811320754
Coffee County,0.008715038034936288,0.20616848800072443,91.82389937106917,76.1006289308176
Catoosa County,0.01049101799390333,0.21516110124149648,93.71069182389937,76.72955974842768
Colquitt County,0.0012200219915663934,0.22463999593570372,66.66666666666666,77.35849056603773
Forsyth County,0.0,0.2266137326933264,10.062893081761006,77.9874213836478
Laurens County,0.00038903895366688827,0.23106079403876487,45.283018867924525,78.61635220125785
Gordon County,0.0010655914051301593,0.2444674106632592,62.893081761006286,79.24528301886792
Bulloch County,0.0063596711452114235,0.25005830095098613,86.79245283018868,79.87421383647798
Barrow County,0.0,0.2504259961731637,10.062893081761006,80.50314465408805
Walker County,0.0,0.2613606002434476,10.062893081761006,81.13207547169812
Bartow County,0.0009265696964680018,0.2705251604269203,59.11949685534591,81.76100628930817
Columbia County,0.0010961714884468042,0.28221045824190694,64.77987421383648,82.38993710691824
Troup County,0.003307615571252486,0.29234574443836053,78.61635220125785,83.0188679245283
Coweta County,0.005845868518866899,0.29296472726828443,83.64779874213836,83.64779874213836
Walton County,0.0016381609393556031,0.2953164079468405,70.44025157232704,84.27672955974842
Paulding County,0.0,0.29555432603505566,10.062893081761006,84.90566037735849
Spalding County,0.006066085449603604,0.3012792924335752,86.16352201257861,85.53459119496856
Glynn County,0.05450642059390469,0.306483526685557,99.37106918238993,86.16352201257861
Rockdale County,0.0064346447361145875,0.3211575512745963,88.0503144654088,86.79245283018868
Newton County,0.0003397213884821021,0.3732678201969331,42.76729559748428,87.42138364779873
Floyd County,0.0,0.40607380964929074,10.062893081761006,88.0503144654088
Douglas County,0.00658713561687209,0.42196773242164787,88.67924528301886,88.67924528301886
Carroll County,0.004307730827257881,0.43344672852389143,81.76100628930817,89.30817610062893
Whitfield County,0.0001829922449556639,0.4338784519131653,33.9622641509434,89.937106918239
Dougherty County,0.02477451766029681,0.4366293245654724,97.48427672955974,90.56603773584905
Cherokee County,0.007153961445246846,0.4573257362128226,89.937106918239,91.19496855345912
Houston County,0.0,0.4644631081037837,10.062893081761006,91.82389937106917
Clarke County,0.0014289846763219766,0.4874255500466376,68.55345911949685,92.45283018867924
Henry County,0.0014095890441434703,0.515946626058528,67.9245283018868,93.0817610062893
Lowndes County,0.10874934334654078,0.5439973157950656,100.0,93.71069182389937
Hall County,0.0003004447627652109,0.6513806672011481,39.62264150943396,94.33962264150944
Bibb County,7.10256091781312e-05,0.6884347850071599,25.78616352201258,94.96855345911949
Muscogee County,0.0,0.8029106238834423,10.062893081761006,95.59748427672956
Richmond County,0.010791093496416406,0.8163175227034694,94.33962264150944,96.22641509433961
Chatham County,0.029983497353774903,0.9612915203761291,98.11320754716981,96.85534591194968
Clayton County,0.0005007225157697855,1.2373978059914776,47.16981132075472,97.48427672955974
DeKalb County,0.0005872071312287924,1.4816481278648965,50.31446540880503,98.11320754716981
Cobb County,0.0009820143678763405,1.5670217458337063,60.37735849056604,98.74213836477988
Gwinnett County,0.00010847698021895895,2.3968771515603313,27.672955974842765,99.37106918238993
Fulton County,0.0031882334056718238,2.407407059526181,77.35849056603773,100.0
